name,types,address,place_id,longitude,latitude
Primavera Pub,bar,"283 Newington Avenue, Hartford",ChIJmSxbpTSt54kRZC53V9MeJWw,1010760.5405667109,824621.3063397895
Roma 56,bar,"898 New Britain Avenue, Hartford",ChIJITm0uC2t54kRS_qa_ry9t4s,1009847.0388262138,827381.4287229471
Zodiac Nightclub,bar,"145b Newfield Avenue, Hartford",ChIJ8w_XTmEP5okR2jsqBkZ36cI,1009673.3836631356,829181.2717815543
The Hangar at Goodwin Park,bar,"1130 Maple Avenue, Hartford",ChIJAQAAwOdS5okRq8F2Tkm9eSw,1016223.8387468958,825359.1900076792
Mirage Lounge,bar,"442 New Britain Avenue, Hartford",ChIJUdXb0ydT5okR_RuOGO-njOo,1014327.7430465248,830191.7683462048
Bars and Restaurants Business,bar,Hartford,ChIJ_____ytT5okR0MTPlLRvPhE,1012607.0330084822,831497.8261118275
Banana Brazil Grill (Steakhouse Restaurant Buffet) Hartford CT,bar,"341 New Park Avenue, Hartford",ChIJcwCQs9Os54kR3BF7amWGWqc,1009896.8159764742,832867.8897960191
Maple Ave Discount Liquors,bar,"871 Maple Avenue, Hartford",ChIJkUlpByBT5okRy9tBw2W3aIc,1017220.0219307446,828794.6908002315
Jessie's Cafe,bar,"1943 Broad Street, Hartford",ChIJOQoG6iFT5okRqLtdUVKSNlc,1017037.515744361,830106.0796238907
Carbone's,bar,"588 Franklin Avenue, Hartford",ChIJp6-oy-JS5okRL7yYlaAPIdc,1020695.4909919525,827639.0450965144
Matty D's Restaurant & Bar,bar,"236 South Street, Hartford",ChIJL4yU4OFS5okRxXNcvYPI5Kc,1018682.1876159476,828408.2360558854
Canicattinese Society Inc,bar,"500 Franklin Avenue, Hartford",ChIJ24IsMR1T5okRFOpr36XdbVw,1020520.7359766416,828655.6559685539
Sun Splash Bar & Grill,bar,"428 Franklin Avenue, Hartford",ChIJBySwuxxT5okRMtiBH5cxZ9c,1020401.4595796865,829572.3638421969
Trinity Tap Sports Bar,bar,"217 New Britain Avenue, Hartford",ChIJyc_zBSNT5okRg3XJp4NiM1I,1016465.1607330039,831679.9228743989
Lo Sano Restaurant & Bar,bar,"678 Maple Avenue, Hartford",ChIJLVHEhvRS5okRJDt6I6snTlI,1018247.2230351882,831056.9200373082
Baker's Cafe,bar,"85 New Britain Avenue, Hartford",ChIJ66Id4xdT5okRvfY26Uqbuok,1017500.5358029254,832452.4895238294
Majestic Lounge,bar,"451 Franklin Avenue, Hartford",ChIJ524SZoBT5okRCjC0XT_dJSY,1020319.3781215937,829237.2340799854
CASONA RESTAURANT,bar,"681 Wethersfield Avenue, Hartford",ChIJ08-onQNT5okR_BHEdIX9DpU,1021416.4442645888,829377.0747571344
Nolita Kitchen,bar,"901 Wethersfield Avenue, Hartford",ChIJbfeuUwFU5okRIceSbasfTkQ,1021761.1211430096,827168.0800634244
Arena Patio Restaurant,bar,"873 Wethersfield Avenue, Hartford",ChIJr4MSk_1S5okR1iFdEr9q7y0,1021779.5473846293,827461.9427988038
