date,ucr_category,ucr_code,geometry,longitude,latitude,year
2017-01-03,03* - ROBBERY,304,"c(1015257.53107098, 844002.72808362)",1015257.5310709776,844002.7280836196,2017
2017-01-02,03* - ROBBERY,301,"c(1014560.95053777, 847012.040867039)",1014560.9505377671,847012.0408670387,2017
2017-01-23,03* - ROBBERY,304,"c(1013489.14117835, 825325.846730623)",1013489.1411783455,825325.8467306228,2017
2017-01-04,03* - ROBBERY,304,"c(1018788.06140114, 845105.140578677)",1018788.0614011404,845105.1405786767,2017
2017-01-04,03* - ROBBERY,314,"c(1018300.18132146, 836817.73886364)",1018300.1813214567,836817.7388636401,2017
2017-01-05,03* - ROBBERY,304,"c(1014516.16076297, 841821.849452185)",1014516.1607629686,841821.8494521854,2017
2017-01-03,03* - ROBBERY,322,"c(1023939.35054801, 848209.706991421)",1023939.3505480076,848209.7069914213,2017
2017-01-07,03* - ROBBERY,304,"c(1020803.26142265, 847462.692817422)",1020803.2614226454,847462.6928174222,2017
2017-01-08,03* - ROBBERY,301,"c(1017572.57150875, 843965.869958565)",1017572.5715087495,843965.8699585645,2017
2017-05-05,03* - ROBBERY,302,"c(1020670.01176271, 834467.038790611)",1020670.0117627148,834467.0387906107,2017
2017-06-04,03* - ROBBERY,304,"c(1017332.69323464, 836983.51248259)",1017332.693234639,836983.5124825902,2017
2017-06-04,03* - ROBBERY,314,"c(1012853.97066112, 837668.718775131)",1012853.9706611213,837668.7187751308,2017
2017-06-07,03* - ROBBERY,314,"c(1020281.18192007, 829491.137659407)",1020281.181920071,829491.1376594068,2017
2017-06-12,03* - ROBBERY,302,"c(1021556.29412537, 829255.566932529)",1021556.2941253671,829255.5669325292,2017
2017-06-12,03* - ROBBERY,304,"c(1019853.08187068, 832567.478546155)",1019853.081870676,832567.4785461553,2017
2017-06-13,03* - ROBBERY,304,"c(1018945.5309725, 843901.520054309)",1018945.5309724968,843901.5200543092,2017
2017-06-13,03* - ROBBERY,303,"c(1021130.70142318, 848212.041212322)",1021130.7014231762,848212.0412123223,2017
2017-06-14,03* - ROBBERY,304,"c(1014048.49147054, 847601.594903496)",1014048.491470542,847601.594903496,2017
2017-07-06,03* - ROBBERY,301,"c(1021012.20218881, 831440.887771108)",1021012.2021888088,831440.887771108,2017
2017-07-08,03* - ROBBERY,302,"c(1009733.18345979, 843427.37592296)",1009733.1834597863,843427.3759229599,2017
2017-07-08,03* - ROBBERY,341,"c(1009483.89011719, 838240.458773654)",1009483.8901171857,838240.4587736544,2017
2017-07-08,03* - ROBBERY,311,"c(1014142.95036018, 845447.230031221)",1014142.9503601821,845447.2300312214,2017
2017-07-09,03* - ROBBERY,304,"c(1014209.82104109, 833422.788167814)",1014209.8210410872,833422.7881678145,2017
2017-07-09,03* - ROBBERY,314,"c(1014780.95083765, 845757.510331677)",1014780.9508376485,845757.5103316768,2017
2017-07-09,03* - ROBBERY,304,"c(1021254.47110807, 851389.281540888)",1021254.4711080688,851389.281540888,2017
2017-07-03,03* - ROBBERY,301,"c(1016324.29463592, 841798.893188243)",1016324.2946359213,841798.8931882426,2017
2017-02-15,03* - ROBBERY,302,"c(1017156.81993458, 834857.842759447)",1017156.81993458,834857.8427594474,2017
2017-02-15,03* - ROBBERY,351,"c(1020015.75192792, 840250.276027765)",1020015.7519279179,840250.2760277655,2017
2017-02-17,03* - ROBBERY,304,"c(1018343.82052509, 831495.190734969)",1018343.8205250917,831495.1907349695,2017
2017-02-18,03* - ROBBERY,302,"c(1018482.20168136, 836225.358705897)",1018482.2016813649,836225.358705897,2017
2017-01-24,03* - ROBBERY,314,"c(1014142.95036018, 845447.230031221)",1014142.9503601821,845447.2300312214,2017
2017-01-24,03* - ROBBERY,304,"c(1014101.20126852, 830072.5973644)",1014101.2012685246,830072.5973643997,2017
2017-03-15,03* - ROBBERY,304,"c(1016656.5054426, 848103.187259131)",1016656.5054426024,848103.1872591311,2017
2017-03-15,03* - ROBBERY,301,"c(1012777.76095225, 833793.115207889)",1012777.7609522499,833793.1152078887,2017
